author,content,cover,works
,即使身在深沟，也不忘仰望星空,,
几米,仰望星空，我想知道：有人正从世界的某个地方朝我走来吗？ 像光那样，从一颗星达到另外一颗星。,https://static.juzicon.com/contribute/image-b5f52ec6-aa1d-4eec-bee9-f50c496cfd12-200706210002-QEGR.jpg,
羽海野千花,两人肩并肩 仰望星空 如此华美 真的 真的 异常华美 七月的夜空,,《三月的狮子》
张皓宸,如若最后遇到像是黑夜中静谧的星空，那当初跋涉的这一路，崴脚的石子，走过冒失的风雪，在此刻都成了过眼云烟。夜风徐徐，望着那片星空，心里有一个可以想念的人。,,《我与世界只差一个你》
阿许s.,我能怎么办？我只能看着他拥抱晚风，去亲吻星空，然后纵身一跃跳下深渊。我什么都做不了。,https://static.juzicon.com/contribute/image-ba729021-b560-4aa5-97ad-5be321032402-210706192016-KUXW.jpeg,《随笔》
李雷,当你仰望星空的时候，你以为你在看星星，其实星星也在看你.,,《李雷和韩梅梅》
,"首尔的火四处奔走最终温暖了富川的四季
富川的光四处漂泊最终照亮了首尔的星空
                                                          ——灿白line",,
蝴蝶蓝,这双此时沾满泪痕的手，曾经在他最骄傲的青春年华里捧起辉煌、灿烂的梦想。与另一个人的手一起，追逐着青春中最疯狂的荣耀。纵然最后拈起的，只是如同烟花般，繁华而空虚的星空，与他的眼泪一样，在空气中隔断了尘世，然后义无反顾地下落。,https://static.juzicon.com/imgs/burst/feet-in-sneakers-pointed-towards-open-ocean-off-rocky-shore.jpg,《全职高手》
本兮,夜晚的星空 美丽却不永恒,,
,"吴邪的梦里，是皑皑白雪中背刀人转身决绝的背影。
张起灵的梦里，是皓月星空下那句你消失了至少我会发现。
解语花的梦里，是永远看着吊儿郎当戴墨镜的人站在远处对自己笑。
黑瞎子的梦里，是身着大红戏服咿咿呀呀在台上打转的人，转眼就跌进自己的怀里。",,《盗墓笔记》
,"你静静地居住在我心里，
如同满月居于星空。

晚安",https://static.juzicon.com/yiyan/a4599a70aca8e93d499475ddca33c575.jpg,
,"你看见星空，那月亮就眨一次眼。你走上东山，那人们就再活一遍。你光着脚背踩在湖水边，那我就翻过夏芒归鸟的背脊偷看你的脸。任冬雪簌簌又缠绵，时光一年复一年。",,
,遥远的星空中繁星闪烁，记忆深处的童年时光如星辰般熠熠生辉，梦幻而让人安心。,,
妙朵朵,"离开的人，或许还会回来死去的人，永远活在爱他的人心底活着的人，守护爱人的幸福被爱的人，带着逝者的心愿，在余生里仰望星空，活在笑容中。每个人都带着遗憾的圆满，静看人世浮华。",,《帝少溺宠：小娇妻，轻轻爱》
,"“为什么星和心的发音如此相似？”
“因为上帝想让那些找不到浩瀚星空中最亮的星的人们在迷茫之后还能捂着心脏告诉自己，他在这儿。”",,
易诗风,"我格第心如跨越群星，离开你，毫不迟疑洒下所有的爱，像有打样种民于苍自我事金当你雨你曾经爱过的来而才得瓶在星空透彻心扉打样用去碎去——",,《星座情诗》
,她的眼泪洒落在星空，变成了银河,https://static.juzicon.com/contribute/image-8978889c-2f5d-4b2e-94b9-eaa9c24581d3-210706202322-S4VV.jpg,
,"他偶然闯进娱乐圈，不带盔甲上阵，于是我们成了他的盔甲。 

碎碎念念，岁岁年年，没有一张合影，也没签名，最后的最后只是隔着屏幕追了好多年

  追星的意义就是 仰望星空的同时也努力成为那个会发光的人 

 趁着自己年少轻狂，一定要去看看他啊。",https://static.juzicon.com/contribute/image-0e041698-5654-42a0-afdc-7af16a675a0e-210622215910-WWZ6.jpeg,
黑格尔,一个民族有一群仰望星空的人，他们才有希望,https://static.juzicon.com/imgs/burst/riverbank-with-basilica-and-bridge.jpg,
谢春花,我从崖边跌落，落入星空辽阔。,,《我从崖边跌落》
,在你的星空，有我烟火的痕迹——万物有灵且萌,https://static.juzicon.com/contribute/image-5287a8fa-2913-4b0e-b154-3e5eb29d8aa5-210706221135-1ULB.jpg,
康德,①诚实比一切智谋更好。②不学会幽默和风趣，人就太苦了。③有两种东西，我对它们的思考越是深沉和持久，它们在我心灵中唤起的敬畏就越清晰，一是我们头顶浩瀚灿烂的星空，一是我们心中崇高的的道德法则。,,
王尔德,我们都生活在阴沟里，但仍有人仰望星空。,https://static.juzicon.com/imgs/burst/forest-waterfall-and-river.jpg,
priest,"头顶星空的人，即使趋利，也趋得有底线，而梦想和尊严是不能用钱践踏的。穷途末路的梦想和尊严也是。",https://static.juzicon.com/imgs/burst/lifeguard-station-on-beach.jpg,《残次品》
,世界很大，就像这星空一样，它不会因为，一颗星星的存在，而流光溢彩，也不会因为，一颗星星的缺席，就黯然失色。,https://static.juzicon.com/contribute/image-fabb9870-f9bd-442f-a07b-cf6359579929-200330184825-CGFT.jpg,《一禅小和尚》
莫争,你知道找到一个真正的爱人是多么幸运的是吗？---就好像你一抬头仰望星空，第一眼就见到你想要寻找的那颗星星。,,《别哭，星空女孩》
莫争,如果你很爱一个人，却不敢表白。你可以去拍一张星空的照片，然后发给她，附言：这就是我想你时的心情。――江淡泊,,《别哭，星空女孩》
,在百合与玫瑰背后，在壮丽河山背后，在一切令我们心醉的美景背后，自有那宏伟的爱美之心和唯美原理。天空中每一点闪亮的星空，原野上每一朵盛开的花蕾，都召唤着我们去探索美的本源，指引我们去寻觅那位创设世间万千美好的造物主。,,
泽部椿,明明因为输了很不甘心，明明这么失落；脚明明又很痛，眼泪明明还一直从眼睛里流个不停。明明这么糟糕，为什么星空却在如此闪耀，夺目地闪耀着。头发里散发着音乐室的味道，能听到有点稍乱的呼吸声，素然眼泪浸湿了，但肩膀却很温暖。我就在你的身边。如果时间能够就这样子停止那就好了,,《四月是你的谎言》
,"“靠近光，追随光，成为光，散发光，期待光，感受光，热爱光，温暖光。”
  追星的大概意义就是：仰望星空的同时，努力成为那个也会发光的人。",https://static.juzicon.com/contribute/image-55ebda2e-85f5-43c0-b260-6804d9ccffa9-200927232147-GFX7.jpeg,
,星空总是这样明洁，像极了最初的你。,https://static.juzicon.com/contribute/image-5055e0da-9465-4c37-8ba1-d01d8ad338c6-201114214355-BZGX.jpg,
,或许仰望星空就是我的火花吧,https://static.juzicon.com/contribute/image-9fe86a12-48b6-41e3-b046-86c479b46dba-210122224211-806D.jpeg,《心灵奇旅》
,星星的光芒虽小，但它能闪烁星空。丑陋的花朵，虽矮，但它有一个执着的心。即使我们失败了，心中的火种，也不能熄灭。,,
康德,这个时不还学他上唯有不是变用子好中想年只家利觉我感到震撼，一个是我们头顶上灿烂的星空，另一个是我们笑得心崇要内天如的法则。,,《康德墓志铭》
王尔德,生活在阴沟里，仍然有仰望星空的权利。,https://static.juzicon.com/contribute/image-2ae0d899-4dc0-4db4-b155-233c90d70128-210220101706-J6LM.jpeg,
王尔德,我们生活在泥沼之中，但是有人依然仰望星空。,https://static.juzicon.com/contribute/image-ff70ac5b-a5b1-423b-bb89-32a0882bdd5c-201021024255-XVHK.jpeg,《王尔德》
佚名,璀璨的星空下，思念疯长成林,,
,一起走一条好像一辈子都会这么走下去的路，干几件结婚后也许永远不会再干的事儿，当然，我也有不能免俗的地方，我想和你在星空下跳舞，直到天边都亮起来,,《恋爱中的城市》
,历史的星空有群星闪耀，在浩如烟海的人类文明史上，曾经有这么一群英雄存在过。,,《历史》
,你眼中有星辰，却容不下整片星空,,
竺子,看星空，很近。看彼此，很远。,,《在你人生最美的时刻》
五月天,以为回忆会永久，剩不变星空陪着我。,,《星空》
康德,“有两样东西，人们越是经常持久地对之凝深思索，它们就越是使内心充满常新而日增的惊奇和敬畏:我头上的星空和我心中的道德律。”,,《实践理性批判》
新海诚,我们仰望着同一片星空却看着不同的地方，时间带着明显的恶意，缓缓地在我身上流逝。我以为人生很漫长，会远的连尽头也看不见，没想到我匆匆翻看，人生，却再也无法逆转。,,
康德,在这个世界上，有两样东西值得我们仰望终生：一是我们头顶上璀璨的星空，二是人们心中高尚的道德。,https://static.juzicon.com/contribute/image-56a4bf5f-4ccc-4475-af6c-20b461a9b8df-200930111328-EG88.jpg,
,"This used to be our playground
  生活在阴沟里也要记得仰望星空啊
   你保护世界，我保护你
    你喜欢一个人，想给她一个好结局
                                             ——《少年的你》",https://static.juzicon.com/contribute/image-8153a5d3-02e4-48d9-a101-127d0d3f5bc2-191026171435-VMA7.png,
陈宁,萤火虫的闪烁太过微弱，所以我为你准备了夏日的星空。,https://static.juzicon.com/contribute/image-8d08f0c7-a2b5-4bf9-8fce-b7e86359185a-191025225557-SJ9Z.jpg,《原创》
,"摔倒了也没关系
正好看看星空
                              ——Kiki许佳琪",https://static.juzicon.com/contribute/image-d6b35153-41d1-4ba0-b23b-773ae7661a07-210225214210-ZAZN.jpeg,
妖,可她不知道，对他来说，最美的星空，藏在她的眼睛里。,,《昨夜星辰昨夜风》
耳根,远处山峰层峦叠嶂，天空冷月朦胧疏影，大地白雪青松相伴，那个等待的女子，还在痴痴地于原地守望着。一任风雪尘埃，一任年轮更迭，她是否无怨无咖……只是云中，隔着几方星空，隔着几层苍穹，再也没有锦书可以相寄。千年岁月，落水无痕，年年雪松相似，红颜不知是否消退，静水是否也能……了无痕。,,《求魔》
李诞,天花板后面是星空。星空后面是我想象力受辱的地方。风中的人都自以为坚毅。却都缩着脖子。,https://static.juzicon.com/contribute/image-89a00d60-1263-441b-b88a-92f0bd528664-200414105145-XNKE.jpeg,
,"We live in the gutter, but some of us still look at the stars
我们生活在阴沟里，但有人依然在仰望星空
                                      —《少年的你》",https://static.juzicon.com/contribute/image-518397e8-e7af-4383-82f5-4d48e649b578-191021213650-T3KK.jpeg,
,"骑士融入了三千丈的星空璀璨光辉无法汇成海盗心念之人的身影",https://static.juzicon.com/imgs/burst/buildings-crowd-the-river.jpg,《凹凸世界》
普希金,"在窗棂与雾霭的双重阴翳里，我爱你。
在头顶星空一次次悄无声息炸裂的瞬间，我爱你。
在大自然让我哭也让我笑并显现为美的所有时刻，我爱你。
在牧人承受草原，农妇承受地土的漫长岁月中，我爱你。
在爱是可以预见的伤害时，我依然爱你。",https://static.juzicon.com/yiyan/7c6df9a343b9208ebcfe1172c6b63267.jpg,
,"我抬起头来眺望星空
这时河汉无声 鸟翼稀薄
青草向群星疯狂地生长
马群忘记了飞翔
风吹着空旷的夜也吹着我
风吹着未来也吹着过去
我成为某个人",https://static.juzicon.com/yiyan/20a68c35650f47356e365e2dbdc661c5.jpg,
,"但不要因为结果被操控原本灿烂的心。——丁程鑫
🦊 “因为我无论在什么位置，我都是为了这个团而付出——”丁程鑫
“希望星星和月亮一直永远陪伴着你，当你开心或者伤心的时候，都可以抬头仰望星空看到它。”",https://static.juzicon.com/contribute/image-2e93ae48-8617-4949-9b0d-4a254d73384b-210111222758-Y43C.jpg,
耳根,"我所在的阳光下，光明要因我驱散。我所在的黑夜里，夜空要因我而淡，因为我，才是这苍穹中。这星空内，这一切苍茫内。唯一的……暗！    这就是我……苏铭！",,《求魔》
,时间让我们懂得了太多太多，懂得了失去，学会了逃避，只好放手。到最后，破烂不堪的我们只能在迷茫的星空中寻求安慰，独自悲伤。,,
康德,有两种东西，我们愈是时常愈加反复地思索，它们就愈是给人的心灵灌注了时时翻新，有加无已的赞叹和敬畏――头上的星空和心中的道德法则。,,
林乔,"原来这故事在诉说的悲哀像整片星空坠落下来",,《汪苏泷---想爱不能爱》
,"礼物，多美好的一个词。
仰望星空，地球是宇宙给人类的礼物;
低头凝望，一花一叶，是大自然给世界的礼物;
孩子是给父母的礼物;
朋友是陪伴的礼物;
回忆是时间的礼物。",https://static.juzicon.com/contribute/image-03bc4586-eacb-4d86-b9d0-590674501be0-200501113619-8SAK.jpg,《朗读者》
安妮宝贝,月亮很圆，在旷野中洒落光泽，周围绵延起伏的山谷轮廓，在幽蓝夜空的广袤画布里显出醒目的黑影，其间挺立一座险峻雪峰，水雪覆盖，线条简洁，在星空下巍峨耸立，雪山的山顶，闪烁着被月光映衬的清冷光芒。,,《莲花》
圣・埃克苏佩里,如果你爱上了某个星球的一朵花。那么，只要在夜晚仰望星空，就会觉得漫天的繁星就像--朵朵盛开的花。,https://static.juzicon.com/contribute/image-63db1c4a-bede-4a5b-b28b-a858fd733dd7-200507002454-LL5T.jpg,《小王子》
,大气之人，大都志存高远、深谋远虑，站得高、看得远、想得深，踱着方步、仰望星空，脚踏实地的走在奔向成功的路上。,https://static.juzicon.com/images/image-190323121419-PPPT.jpg,
静水边,如若凯旋而归，伤疤和勋章会成为我们的荣耀；如若不幸战死沙场，我的血肉会与我的爱一起，长眠于他乡故土，而我的灵魂将会越过浩瀚星空和万里银河，回到爱人身边，永不孤独。,,《钟情》
亚瑟・克里斯托弗・本森,"这一天  我开始仰望星空  发现星并不远   梦并不远  只要你踮起脚尖",https://static.juzicon.com/imgs/cy/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210521145240.jpg,《仰望星空》
赵菱,"我们那年的梦想
璀璨的就像最新鲜的阳光
我们那年的梦想
连眼泪都会闪闪发光

我们就是光芒，我们就是勇气
我们要在很多年后还记得当年的自己
做过的梦仰望过的星空
都会成为青春最美的记忆
写过的歌弹过的琴
都会成为人生最大的奇迹",,《我们那年的梦想》
王尔德,"We're all in the gutter, but some of us are looking at the stars. 
    译:我们都在阴沟里，但仍有人仰望星空。
    另一种翻译:身在井隅，心向璀璨",https://static.juzicon.com/contribute/image-e88c8cf4-a4d3-421d-abe7-bd095dcb11e9-191002185217-ZOBH.jpeg,
,"第一眼惊艳 
第二眼沦陷 
第三眼倾心 
第四眼期待 
第五眼领悟 
第六眼迷茫 
第七眼暗淡 
第八眼平淡 
第九眼遗憾 
第十眼无感 
祝你前程似锦
祝我梦里无你
——《坠落星空》 ​​​​",https://static.juzicon.com/contribute/image-d8000283-9688-4d8c-8e52-823ff440e56c-191003103417-ZMZD.jpg,《网易云热评》
星魂,我仰望星空是为了寻找答案，我们曾经一起堕落。因为爱，所以我放手。让你去寻找你的爱！因为我知道是梦终空。,,《星》
,做一个有思想的青年，脚踏实地固然要，但是不能忘了仰望星空。,,
孤独患者,没有星空的夜里，我用泪光吸引着你，即然喜欢你不能诉说，那么请让哭泣只留给我一人，当你看到时，心碎的只有我自己,https://static.juzicon.com/contribute/image-526cda93-b75b-42b5-9f88-5a099cbab04c-200520224542-4P7J.jpg,
水千丞,这世界上最能击溃人，未必是绝望，而是绝望之中的那一点希望，就像浩瀚星空中的小小一枚，最亮，却是最能杀人不见血。,,《附加遗产》
,一星陨落，黯淡不了星空灿烂；一花凋落，荒芜不了整个春天。既然你的黯淡不能让天空陪同，那何不发光至瞩目；既然你的凋落无法让春天陪同，那何不花开至绚烂。,https://static.juzicon.com/contribute/image-637de79d-618f-4ceb-9913-518eb9737450-200522191616-VSXI.jpg,
,"遇见你以后，我睁眼便是花田，闭眼便是星空。

After I met you, I opened my eyes to the flower fields and closed my eyes to the stars.",https://static.juzicon.com/contribute/image-390679a6-95a2-4954-9476-589667716d12-191116002829-XUHG.jpg,
王尔德,生活在阴沟里，依然有仰望星空的权利。,https://static.juzicon.com/imgs/burst/where-the-forest-and-city-meet.jpg,
玖月晞,"“我们，生活在阴沟里，但依然，有人仰望星空。”

   
             玖月晞——《少年的你，如此美丽》",https://static.juzicon.com/contribute/image-b4d8caca-dfbb-4b3b-b22a-3806c4f492f5-191005103613-GTSW.jpeg,《少年的你，如此美丽》
康德,"有两样东西,我们愈经常愈持久地加以思索，它们就愈使心灵充满始终新鲜不断增长的景仰和敬畏：在我之上的星空和居我心中的道德法则。",https://static.juzicon.com/contribute/image-ae9b7d75-1138-4ff5-a865-58f1b5b23d59-191012093114-DZTX.jpeg,
,"某个地方，蓦然回首，一见倾心
……
某个夜晚，蓦然回首，星空似你
……
某个瞬间，蓦然回首，星河依旧
……
所念皆是你，可望不可及…",https://static.juzicon.com/contribute/image-61cd9711-5b2c-46d8-834c-5f5e1fc859bf-200618210238-IAW6.jpeg,
,星空彼岸的光芒，幻想触及的地方，我到了淤泥深处，捡到了一颗星星。,https://static.juzicon.com/contribute/image-4ef35cb0-3e5c-46a0-9a83-0d933d4cccc0-200621163817-D06R.jpeg,《残次品》
奥斯卡・王尔德,"We are all in the gutter, but some of us are looking at the stars.
我们都深陷于沟壑之中，但总有人仰望星空。",https://static.juzicon.com/adm-images/50cfbf8a3b4d48aa4867408154455418.png,
Priest,比金钱更珍贵的是知识，比知识更珍贵的是无休止的好奇心，而比好奇心更珍贵的，是我们头上的星空。,https://static.juzicon.com/contribute/image-f64a772e-dd63-48ab-a15a-50e58833ccce-200623074854-7YE4.jpg,《残次品》
,"“俯瞰雪山，地平线上的落日，车轮驶过水泥公路，星空，途径油菜花海，栖鸟振翅而飞，澄净湖水，黄昏的云，油烟，暗黄色酒液，碰杯，睡眠，荒漠，残阳，快门，赤裸的山脊，天黑。”
“每个逗号的间隙，都是我在想你。”",https://static.juzicon.com/contribute/image-c7c83d43-48b6-4056-8797-d359847247fe-200701164606-2TTU.jpeg,《长佩》
马嘉祺,"你可以追逐闪电，你可以沐浴阳光
你可以触摸细雨，你可以仰望星空
当然可以            ——马嘉祺",,《马嘉祺》
,数星星的孩子是在和夜晚的星空交谈，而不是为了得到一个数字。,https://static.juzicon.com/imgs/burst/distant-view-of-a-cityscape-seen-from-above.jpg,
兰波,闪烁的太阳越过高傲的山峦，幽谷中的光点犹如泡沫浮沉，以我之力，追我所愿，挣脱世间繁杂的束缚，去往内心无垢的星空。,,
五好当对是要子,命运偷走如果只留下结果   时间偷走初衷只留下了苦衷   你来过然后你走后 只留下星空,,《星空(歌曲)》
康德,世界上有两件东西能震撼人们的心灵：一件是我们心中崇高的道德标准；另一件是我们头顶上灿烂的星空。,https://static.juzicon.com/adm-images/43ef74b7ce4e6e7ba5faf351a3965377.jpeg,
,一花凋零，荒芜不了三月阳春；一叶枯萎，萧瑟不了十月金秋。一星陨落，黯淡不了璀璨星空；一水岔流，干涸不了蔚蓝海洋。,,
,如果你爱上了某个星球的一朵花。那么，只要在夜晚仰望星空，就会觉得漫天的繁星就像一朵朵盛开的花。,https://static.juzicon.com/contribute/image-d48be1ef-ed62-4660-b71a-060053b8939c-201217225031-3FHK.jpg,《小王子》
毕淑敏,夜晚在甲板上专心一意地仰望星空。星星是天空的文字，银河是高不可及的诗篇。流星是上苍和大地的信使，每一道匆忙赶路划破天宇的星光，就是宇宙间的特快传递了。黎明时分看数十只海豚在浪中嬉戏，如此无拘无束欢愉自在，生出下辈子要做一只海豚的念头。,,《幸福的七种颜色》
,不管生活在哪，星空都在头顶。——贺峻霖,https://static.juzicon.com/contribute/image-4b9850b2-b5d4-40c0-9434-72c11e44fea1-210226025852-CCFW.jpg,
,"凉风起，街灯似流火，一人楼上观景，迷离色。月光游，心思如飘絮，独奏星空闪烁，倚月弯。",,
张国荣,"抬头望星空一片静我独行 夜雨渐停无言是此刻的冷静笑问谁 肝胆照应风急风也清 告知变幻是无定未明是我苦笑却未停不信命 只信双手去苦拼矛盾是无力去暂停可会知 我心里困倦满腔夜阑静 问有谁共鸣",,《有谁共鸣》
,"我喜欢你，如春日枝头萌发的萌芽，如夏日出淤不染的菡萏，如秋日随风飞舞的银杏，如冬日独一无二的雪花。
我喜欢你，就如同你的眼眸，万般星辰，万般爱恋。
我喜欢你，如春日东升的耀眼骄阳，如夏日夜深灿烂的星辰，如秋日不骄不躁的微风，如冬日透过阴云的微光。
我喜欢你，如同那日星空灿烂。",https://static.juzicon.com/contribute/image-81cb1295-1db0-4634-bee2-6be4df4c34ab-210626103635-4LOX.jpeg,
卡勒德・胡赛尼,凝望星空，看流云飘过月亮。他回想起自己漫长的一生，感谢所受的恩惠和喜乐。他懂得，再有更多的索要，更多的欲求，便未免过于厚颜。他幸福地叹了口气，再听山风瑟瑟，夜鸟啁啾。,,《群山回唱》
,"1.日落跌进星河里 留给山川湖海的着迷 长夜繁星的欢喜
2.我沿着星河捡着你遗落在月亮旁的浪漫
3.这世间青山灼灼星光杳杳秋雨淅淅晚风慢慢
4.星空迷上了山野有雾有灯也有归人
5.银河用月色作饵 晚风为杆 垂钓落入你眼底的星光
6.满天辉映的不止星光 还有你眼中的星河鹭起",https://static.juzicon.com/contribute/image-f69d1636-f7f1-4684-abff-fed7a70c6c3e-210626130318-1MOC.jpeg,
,“我仰望你看过的星空，脚下大地已换了时空”。,https://static.juzicon.com/contribute/image-cd1bc092-824e-49d7-aadb-43c41c9c94ef-210626131220-S70N.jpg,
卡米尔,看到那片星空了吗，是你将要和我一起夺下的天地。,,《凹凸世界》
王源,只要想起家乡，每个人记忆里都会有一片熟悉的星空，哪怕相距再远，也可以在心里放牧星群,https://static.juzicon.com/contribute/image-10d4f8c9-6b17-40b1-96a8-fa9c76b989d0-201021234107-JSDN.jpeg,《王源说》
――共青团中央,"我们为什么要努力？
因为想要的东西都很贵。，想去的地方都很远，想爱的人都很优秀……
仰望星空，脚踏实地。",,《网易云音乐》
离祁岁酒,"“他20岁最后一场雨和他一 起看”
“他21岁第--一个星空和他一起看”
“他22岁第一个热搜和他一起上”",https://static.juzicon.com/contribute/image-400f2169-1b8a-4299-8bfb-1252cb5e0c9f-210626115538-EPVB.jpeg,
,其实，没有不喧嚣的生命。即使时间从来不回答，即使人人都寂寞，即使我们都生活在阴沟里，仍有人仰望星空。,,
微酸袅袅,他的眼神深沉如幽深的湖水，又似浩瀚星空，我要是不小心扎进去，一定爬不出来，找不到回家的路。,,《你是我生命里最温暖的事》
禹岩,如果我能同时放飞一千盏孔明灯，我就可以为你盈造一片星空！属于你的星空！,,《极品家丁》
我我我,仰望星空你会发现：每一颗星星都在闪闪发光。如若你没有发现，只能说明你的眼睛还不够清澈。每一个都是星星，都在闪烁着属于自己的光芒！,https://static.juzicon.com/contribute/image-379bb432-490f-42fd-a3d3-b1a27176f6e0-200208234511-ZA3P.jpg,
娜蒂法・穆罕默德,"""看到那些星星了么，古德，它们保佑着这世间的一切。""夜晚的星空宛如一块巨大的煤矿般漆黑、闪亮。一轮皎洁的新月悬挂其中，好似一把刚锻造出路的镰刀，一颗颗流星仿佛铁匠的熔炉里蹦出的丝丝火星。",,《黑曼巴男孩》
不才,只夏夜星空几寸 似他眉眼动人,,《塘桥夜话》
,我们生活在阴沟里，但仍然有人仰望星空。,,
,也许你像星空那样美丽，我想渺小的尘土那样卑微 但是你要知道我永远在这里等 一直都是,https://static.juzicon.com/contribute/image-3df2f90f-7478-4989-9d5b-698f213d6d44-210321003543-P5XD.jpg,
醉虎,蝼蚁聚团求存，强者则与寂寞和星空为伴。,,《黑铁之堡》
,"年少的他们，在星空下许下诺言，一个说愿意等，一个说会回来。现在你回来了，可是，我等的已经不是你了。有的时候，一旦错过，便是一生，再次遇见，可有来生？",,
,愿做你头顶上的一片星空，所以你每次的抬头仰望，绝不会流下眼泪，如果你不见了，会有一场流星雨，让你某处许一个回来的愿望。,,
赵雷,"画上有你能用手触到的彩虹画中有我决定不灭的星空",,《画》
黎明尽头,"“今日之前，我信仰科学信仰头顶这片永恒星空……” “今日之后，我只信仰你。”",,《快穿之逆神》
五月天,"最后只剩下星空，像不变的回忆，陪着我,..",,《星空》
,清晨的风吹乱心中的离别 遥望着你的背影 有不舍有依恋 却无法阻挡你前行的脚步 可能是宿命的纠缠 也许是前世的因果 静对星空 想你在这无边的天迹 也许 生命正因它的脆弱而更加美丽 残酷的结局往往会更加的刻骨铭,,
独木舟,"1、有些地方也许这一辈子都只会去一次，所以和谁一起去，非常重要。2、我们都生活在下水道里，但依然有人夜夜仰望星空3、爱情是奢侈品，有最好，没有也能活。4、千变万化的是人生，纹丝不动的是命运。",,《我亦飘零久》
刘慈欣,我们都是阴沟里的虫子，但总还是得有人仰望星空。,https://static.juzicon.com/contribute/image-fee778f2-ee26-474e-ad72-9c616e3fb73c-191218064724-CWRX.jpg,《三体》
许辰,"我们很多人都以为自己是孤独的影子
却又会在某一刻
庆幸自己活在这片天空下
或是感受到星空的浪漫
也或许突然想起
还有爱着我的人在",,《镇魂街》
,失恋的人虽各不相同，但仰望星空却是唯一的不约而同,,
,"早安~仰望星空的同时 别忘了脚踏实地因为前方的路不一定一马平川。    一步一步  踏踏实实 才能走的更远，路在脚下  慢慢去走。",,
傅小司,立夏，这个世界太大了，大到人海里我喊破了嗓子，也不会有你的回应。但有时候我在想，你一定也和我一样，在这个世界的某一个角落，抬起头，仰望同一片星空。,,《夏至未至》
,花海轻盈  星空安静  我的世界  消逝了  只留下  你给我的诗句,,《第七朵盛开的花上》
熊培云,生活中不只有面包和玫瑰，还有星空。埋葬星空的人，也会埋葬大地。当我们仰望星空时，星空也在仰望我们。,,《慈悲与玫瑰》
,星空依旧是星空，梦想依旧是梦想，从不因人而异。,https://static.juzicon.com/images/image-190325094356-SRFE.jpg,
,虽然有些事情 从一开始就意味着结束 从一开始就知道没有结果 那是不是就不让它开始呢 如果害怕失去就放弃拥有的权利 那么人生好像也就失去了意义 ——《星空》,https://static.juzicon.com/images/image-190325095205-V9JA.jpg,
,在那个夜晚，我对着星空许愿，希望她的梦里有我，即使我知道，能让她快乐的是另一个人,,《我的少女时代》
季槿忧,"而你，是我无法到达的彼岸；于我，只能遥望而你，是我无法触及的星空；于我，只能观赏而你，是我无法割舍的回忆；于我，只能留恋而你，是我无法触及的梦想；于我，只能幻想而你，是我无法拥抱的恋人；于我，只能感伤",,
EXO,在满天的星空里，你是only one,,《流星雨》
,"星空浩瀚无垠 莘莘学子的梦黄河万里奔腾  填不满追梦赤子之心",,
莫娜,"在这个真实得太过分的世界里,每个人都需要仰望星空。",,《原神》
莫娜,"虚假之天,星空下的命运早已注定。
水中之影,涟漪中窥见启明星升起。",,《原神》
,"我每夜每夜，遥望星空，寻觅你的影踪，想要再见你的音容。
云影渐浓，清风拂冷松，思你如山洪。——漫画《听说我很穷》",https://static.juzicon.com/contribute/image-ad4a5def-e1fd-49ef-992e-4df032ee6d62-201024201939-8J2H.jpeg,
某不知名网友小傅,这世界真的很大，就像那星空一样，它不会因为一颗星星的存在而流光溢彩，也不会因为一颗星星的缺席就黯然失色。仰望星空，你就知道我来自哪里，所有的星星眼都在等着一颗星。,,
,"她伸手撩了下垂落胸前的青丝，露出精致的锁骨，唇角微微上翘，那张脸顿时生动起来，像是本欲凋零的花朵，突然复苏绽放一般。  眉目舒展，凤眸睁开，黑漆漆的瞳孔犹如浩瀚星空，包罗世间万象，却无法让人从中窥探出任何的秘密。",,《快穿女配：反派BOSS有毒》
独木舟,"你曾给我的星空，我曾笃定的认为，在我余生之中，不会再有那样美丽的夜晚。    然而当我远行至此，也禁不住笑当日的自己，何其天真幼稚。",,《我亦飘零久》
沧月,他一直都是孤独的旅人，在不属于自己的土地上流浪。只有在夜晚仰望星空时，才会冥冥中感觉虚空里有俯视的眼睛――提醒他万仞高空上，有着他永远无法回去的故国。,,《镜・归墟》
,和我私奔吧，在落日，和星空下。,https://static.juzicon.com/contribute/image-124c6b87-9833-4473-bb2c-f36ba1b27871-210626234459-IRMZ.jpg,
沈醉天,"星空灿烂，一颗流星突然划过，用自己的身体燃烧出绚丽的烟花，流光溢彩。人的生命，何尝不是流星？看似瑰丽，其实短暂，充满了太多的无奈。",,《女生寝室》
,星空作酒， 微光烧煮，流淌的是夏夜的气息，漂浮的是银河的影子,https://static.juzicon.com/contribute/image-29d060b1-e1d7-4e5a-986c-2a730ba886e2-210627062703-OJS0.jpeg,
,我是冬天经过太平洋的长风，而你在等待北极满天的星空。,,
麦当,星空之所以美丽，是因为在无限的宇宙无论黑暗怎样蔓延总会有星星去把它照亮，世界也是这样，有绝望的地方就会有希望的存在。,,
,不必仰望别人的星空，自己亦是最美的风景,https://static.juzicon.com/contribute/image-cee92520-9829-4a3a-b657-7a2c8f65cf2c-210627083636-VZQ5.jpeg,
