author,content,cover,works
张皓宸,就像证明出AB垂直于CD，解开鞋带的死结，看见荒野上的星空，因为有你在，一切恰到好处，前路艰险都有了勇气，到老也愿意在一起。,,《后来时间都与你有关》
,星空有路 心海无涯,,
,我有我要去的远方，风雨兼程，披星戴月。没有必要因落叶而悲秋，因为一星陨落黯淡不了整片星空；一花凋零荒芜不了整个春天。,,
,我们生活在阴沟里，但依然有人仰望星空.,https://static.juzicon.com/contribute/image-d4cf3cdc-fa22-43a6-93f8-29465ec7fa29-191209201446-SGDE.jpeg,《少年的你》
安东尼・德・圣埃克苏佩里,"只有用心去看，才能看的真切
繁星之所以美丽✨
是因为一朵遥不可见的花
假如你喜欢一朵花
在夜晚仰望星空的时候就会很愉快
感觉所有的星星上都开满了花🌸",https://static.juzicon.com/contribute/image-83de7674-99aa-4f9a-b459-ca9929944add-200313161813-MTCZ.jpeg,《小王子》
徐菲,"银色耀眼星空苍翠茂密梧桐茫茫中蓄势待发的梦埋下心愿静静在等候",,《树叶的光》
抹茶曲奇,他的身后是浩渺星空，可他的眼里只有她。,,《吾家娇妻》
龚深深,曾经有人向真自我真四去爱的人跟我说，所有分开的对军打就人自然主后到当子军金比成里觉生上的星星，不管分开多生却，多久，若是在夜晚仰望同一片星空，第心们打外你和我在一起。,,《里觉生向真自明就的枕向真自伤》
高迪,一百三十二阵风我消失人身人海中看雨落下望星空就像那断了线的筝,,《三生三世 十里桃花》
,我错过了世间最美丽的烟火，却见到了世间最璀璨的星空，每一次的错过都是为了下一次更美好的遇见。我们即使错过，但下一次的相逢，却是我们最美好的遇见。,https://static.juzicon.com/contribute/image-d03bca8e-e448-46fc-86a1-4a47fd1742c0-200110211104-LISG.jpg,
薛慈欣,"我们后是便那生是阴沟他夫而中觉心来的虫子,里成事成当样将去来他家要是得有人仰望星空.",https://static.juzicon.com/imgs/burst/medium-wide-shot-of-baby-pink-blossoms-amidst-scarlet-leaves.jpg,《生可当体》
陈长生,无限的星空里，可以容纳无数人生，无数的希望和寄托，哪怕是最玄妙的命运，在星空中也一定有迹可循。,,《择天记》
,"我宁愿回忆起你初下山，神情中不染烟火气诵读晨昏咀嚼光阴，顺心意，争生存子不惧前途风雨，剑吟声中白鹤立还有你与她的初遇，都彼此清澈的像夏的星空 玄幻小说，却处处透着深情与愁绪大概，就像你离开与归来时周遭的忧伤与欣喜 三年，却又好像我只读了第一页",,
,"一星陨落，暗淡不了星空灿烂；
一花凋零，荒芜不了整个春天。",,《巴尔扎克》
,"“当感觉到累的时候可以仰望星空，因为我也在仰望星空，我可以看到你哦”
                                                   —丁程鑫",https://static.juzicon.com/contribute/image-55d50123-4d72-4a8c-ae48-dc240ada7b3a-200826165443-APDO.jpeg,
,我想轻轻触碰一下我的月亮，再将她归还于茫茫星空 继续发光发亮.,,
绯炎,满天繁星的夏夜，属于每一个仰望星空的人,,《琥珀之剑》
陶歆,一直以来，我都喜欢星空下的蓝色，似乎它忘却的是那年少的该与不该，曾经做过的那些纯真的梦，如天使般纯洁；曾经的我，如青苹果般酸涩。伊甸园的梦在风中摇摇欲坠，是失落，还是惆怅？,,《世界没有童话》
,星空代表着神秘与耀眼，也代表着于星空下奔跑的我们。我们为梦疯狂着、挣扎着、徘徊着，雷电交加，大雨淋漓，也无法阻挡前进中的我们。我们相信，终有一天，乌云将散去，那片耀眼的星空，会再一次出现，并且更为自己所震撼。,,
,甜豆少年何洛洛✨星空眼眸何洛洛✨低沉嗓音何洛洛✨律动舞姿何洛洛✨美康少年何洛洛✨净白少年何洛洛✨元气满满何洛洛✨橙汁男友何洛洛✨lesion出圈何洛洛✨心动宣言何洛洛✨乘风破浪何洛洛✨万千宠爱何洛洛✨欢迎了解多姿多彩的何洛洛,,
,她是堕入凡间的魔女，是璀璨星空中最耀眼的珍宝。,https://static.juzicon.com/contribute/image-d1f1a22c-b5ac-4550-ab04-829696b85928-200823193626-KBHF.jpeg,
